id,text,
1,"The shoes are very comfortable for daily wear, but they run slightly small so I had to exchange them.","

"
2,"Loved the design and color, looks exactly like the pictures. However, the sole started wearing out after two weeks.",
3,"The sneakers feel okay, nothing too special. Fit is fine and quality seems average.",
4,Very disappointed. The shoes looked great online but the color is dull in reality and not worth the price.,
5,Super comfortable and stylish. I wear them all day without any discomfort.,
6,The size fits perfectly but the material feels cheap and started tearing within a month.,
7,"Good for casual use, but not suitable for long walks as they become uncomfortable after a while.",
8,The color combination is amazing and the design stands out. Definitely worth the price.,
9,Had to return the shoes because they were too tight even though I ordered my usual size.,
10,"Decent quality for the price, but nothing exceptional in terms of design or comfort.",
11,"The shoes look premium and feel great, but delivery was delayed.",
12,"After just a few uses, the sole started cracking which is very disappointing.",
13,Nice design but the sizing is inconsistent. One shoe feels tighter than the other.,
14,Very lightweight and comfortable sneakers. Perfect for daily use.,
15,The price is too high compared to the quality offered.,
16,Color started fading after a few washes which is disappointing.,
17,"Fits well and looks good, but not sure about long-term durability yet.",
18,"The cushioning is excellent, but the shoes feel a bit heavy.",
19,Worst purchase ever. Poor quality and very uncomfortable to wear.,
20,Overall a good product. Minor sizing issues but comfortable once adjusted.,
21,These shoes did not meet my expectations. Overpriced for what you get. I had to return them.,
22,"The shoes are okay overall. Feels narrow. In addition, very comfortable for long walks. I may keep using them for casual wear.",
23,I am disappointed with these sneakers. The stitching came loose. I would not buy this pair again.,
24,"My opinion on these sneakers is mixed. The shade is average. In addition, I had to size up. On the other hand, durability seems average.",
25,"Overall, I am satisfied with this pair. The cushioning is excellent. At the same time, is too tight. In addition, the finish looks premium.",
26,"These shoes did not meet my expectations. The shade fades quickly. However, the overall look is great. Another issue is that too stiff to wear comfortably.",
27,"This pair is neither great nor bad. Still looks new after many wears. However, the color looks fine. Meanwhile, bad value for money.",
28,"These shoes did not meet my expectations. Not comfortable for walking. On the other hand, the shape looks awkward. This purchase was disappointing.",
29,"I like these shoes a lot. No major sizing issue. However, worth the price. They work well for me.",
30,"My experience with these sneakers is average. The finish looks premium. At the same time, it looks cheap in person. They are acceptable for now.",
31,I am really happy with these sneakers. The color stands out nicely. I am happy with the purchase.,
32,"This was a bad purchase for me. It fits as expected. Also, the starts cracking after a month. I had to return them.",
33,"This pair is neither great nor bad. The sneakers look premium. On the other hand, durability seems average. In addition, nothing special about the color.",
34,"Overall, they are fine for regular use. Is too tight. Also, the the shape is attractive. They are usable, nothing more.",
35,"I am really happy with these sneakers. Hurts during long use. However, worth the price. And the no signs of wear so far.",
36,"I like these shoes a lot. The color stands out nicely. Also, size was exactly right. Also, becomes uncomfortable after a while.",
37,"My experience with these sneakers is average. The sizing is average. They are usable, nothing more.",
38,"I am impressed with the product overall. Easy to wear for hours. Meanwhile, looks okay overall. I would definitely keep them.",
39,My opinion on these sneakers is mixed. Acceptable for daily use. Another issue is that the design is average. Another issue is that shows wear after a few uses.,
40,"The shoes are okay overall. Is too tight. Also, the good value for money. Another issue is that nothing special about the design.",
41,I am really happy with these sneakers. The color stands out nicely. They work well for me.,
42,My experience with these sneakers is average. Looks okay overall. I may keep using them for casual wear.,
43,"I am really happy with these sneakers. Nothing special in comfort. At the same time, the shade is beautiful in person. They work well for me.",
44,This was a bad purchase for me. Not worth the price. And the the design looks ugly. I am not satisfied with the purchase.,
45,I am impressed with the product overall. Build quality seems strong. They work well for me.,
46,I like these shoes a lot. Looks modern and clean. I would recommend them to others.,
47,I like these shoes a lot. Comfortable right out of the box. And the the color is okay. I would definitely keep them.,
48,"This was a bad purchase for me. The style feels outdated. However, reasonable enough. I am not satisfied with the purchase.",
49,My experience with these sneakers is average. No signs of wear so far. And the the colors look cheap. They are acceptable for now.,
50,This was a bad purchase for me. Becomes uncomfortable after a while. I am not satisfied with the purchase.,
